Company_ID,Branch_ID,Employee_ID,Product_ID,DATE,Product_Quantity,Price,Sales
C1,B-101,E-101,P-101,01-01-2020,1826,1500,2739000
C1,B-101,E-101,P-101,02-01-2020,1089,1500,1633500
C1,B-101,E-101,P-101,03-01-2020,1101,1500,1651500
C1,B-101,E-101,P-101,04-01-2020,1366,1500,2049000
C1,B-101,E-101,P-101,05-01-2020,1198,1500,1797000
C1,B-101,E-101,P-101,06-01-2020,1425,1500,2137500
C1,B-101,E-101,P-101,07-01-2020,1221,1500,1831500
C1,B-101,E-101,P-101,08-01-2020,1662,1500,2493000
C1,B-101,E-101,P-101,09-01-2020,1948,1500,2922000
C1,B-101,E-101,P-101,10-01-2020,1290,1500,1935000
C1,B-101,E-101,P-101,11-01-2020,1970,1500,2955000
C1,B-101,E-101,P-101,12-01-2020,1968,1500,2952000
C1,B-101,E-101,P-101,13-01-2020,1053,1500,1579500
C1,B-101,E-101,P-101,14-01-2020,1199,1500,1798500
C1,B-101,E-101,P-101,15-01-2020,1609,1500,2413500
C1,B-101,E-101,P-101,16-01-2020,1145,1500,1717500
C1,B-101,E-101,P-101,17-01-2020,1121,1500,1681500
C1,B-101,E-101,P-101,18-01-2020,1865,1500,2797500
C1,B-101,E-101,P-101,19-01-2020,1647,1500,2470500
C1,B-101,E-101,P-101,20-01-2020,1221,1500,1831500
C1,B-101,E-101,P-101,21-01-2020,1308,1500,1962000
C1,B-101,E-101,P-101,22-01-2020,1243,1500,1864500
C1,B-101,E-101,P-101,23-01-2020,1286,1500,1929000
C1,B-101,E-101,P-101,24-01-2020,1969,1500,2953500
C1,B-101,E-101,P-101,25-01-2020,1104,1500,1656000
C1,B-101,E-101,P-101,26-01-2020,1333,1500,1999500
C1,B-101,E-101,P-101,27-01-2020,1227,1500,1840500
C1,B-101,E-101,P-101,28-01-2020,1141,1500,1711500
C1,B-101,E-101,P-101,29-01-2020,1920,1500,2880000
C1,B-101,E-101,P-101,30-01-2020,1055,1500,1582500
C1,B-101,E-101,P-101,31-01-2020,1201,1500,1801500
C1,B-101,E-101,P-101,01-02-2020,1046,1500,1569000
C1,B-101,E-101,P-101,02-02-2020,1077,1500,1615500
C1,B-101,E-101,P-101,03-02-2020,1121,1500,1681500
C1,B-101,E-101,P-101,04-02-2020,1417,1500,2125500
C1,B-101,E-101,P-101,05-02-2020,1028,1500,1542000
C1,B-101,E-101,P-101,06-02-2020,1005,1500,1507500
C1,B-101,E-101,P-101,07-02-2020,1227,1500,1840500
C1,B-101,E-101,P-101,08-02-2020,1041,1500,1561500
C1,B-101,E-101,P-101,09-02-2020,1694,1500,2541000
C1,B-101,E-101,P-101,10-02-2020,1376,1500,2064000
C1,B-101,E-101,P-101,11-02-2020,1242,1500,1863000
C1,B-101,E-101,P-101,12-02-2020,1951,1500,2926500
C1,B-101,E-101,P-101,13-02-2020,1385,1500,2077500
C1,B-101,E-101,P-101,14-02-2020,1448,1500,2172000
C1,B-101,E-101,P-101,15-02-2020,1345,1500,2017500
C1,B-101,E-101,P-101,16-02-2020,1238,1500,1857000
C1,B-101,E-101,P-101,17-02-2020,1502,1500,2253000
C1,B-101,E-101,P-101,18-02-2020,1122,1500,1683000
C1,B-101,E-101,P-101,19-02-2020,1200,1500,1800000
C1,B-101,E-101,P-101,20-02-2020,1405,1500,2107500
C1,B-101,E-101,P-101,21-02-2020,1746,1500,2619000
C1,B-101,E-101,P-101,22-02-2020,1088,1500,1632000
C1,B-101,E-101,P-101,23-02-2020,1332,1500,1998000
C1,B-101,E-101,P-101,24-02-2020,1710,1500,2565000
C1,B-101,E-101,P-101,25-02-2020,1262,1500,1893000
C1,B-101,E-101,P-101,26-02-2020,1938,1500,2907000
C1,B-101,E-101,P-101,27-02-2020,1859,1500,2788500
C1,B-101,E-101,P-101,28-02-2020,1907,1500,2860500
C1,B-101,E-101,P-101,29-02-2020,1976,1500,2964000
C1,B-101,E-101,P-101,01-03-2020,1340,1500,2010000
C1,B-101,E-101,P-101,02-03-2020,1581,1500,2371500
C1,B-101,E-101,P-101,03-03-2020,1478,1500,2217000
C1,B-101,E-101,P-101,04-03-2020,1083,1500,1624500
C1,B-101,E-101,P-101,05-03-2020,1215,1500,1822500
C1,B-101,E-101,P-101,06-03-2020,1250,1500,1875000
C1,B-101,E-101,P-101,07-03-2020,1513,1500,2269500
C1,B-101,E-101,P-101,08-03-2020,1828,1500,2742000
C1,B-101,E-101,P-101,09-03-2020,1291,1500,1936500
C1,B-101,E-101,P-101,10-03-2020,1504,1500,2256000
C1,B-101,E-101,P-101,11-03-2020,1577,1500,2365500
C1,B-101,E-101,P-101,12-03-2020,1154,1500,1731000
C1,B-101,E-101,P-101,13-03-2020,1653,1500,2479500
C1,B-101,E-101,P-101,14-03-2020,1570,1500,2355000
C1,B-101,E-101,P-101,15-03-2020,1297,1500,1945500
C1,B-101,E-101,P-101,16-03-2020,1819,1500,2728500
C1,B-101,E-101,P-101,17-03-2020,1647,1500,2470500
C1,B-101,E-101,P-101,18-03-2020,1344,1500,2016000
C1,B-101,E-101,P-101,19-03-2020,1869,1500,2803500
C1,B-101,E-101,P-101,20-03-2020,1808,1500,2712000
C1,B-101,E-101,P-101,21-03-2020,1996,1500,2994000
C1,B-101,E-101,P-101,22-03-2020,1846,1500,2769000
C1,B-101,E-101,P-101,23-03-2020,1382,1500,2073000
C1,B-101,E-101,P-101,24-03-2020,1716,1500,2574000
C1,B-101,E-101,P-101,25-03-2020,1085,1500,1627500
C1,B-101,E-101,P-101,26-03-2020,1387,1500,2080500
C1,B-101,E-101,P-101,27-03-2020,1685,1500,2527500
C1,B-101,E-101,P-101,28-03-2020,1820,1500,2730000
C1,B-101,E-101,P-101,29-03-2020,1201,1500,1801500
C1,B-101,E-101,P-101,30-03-2020,1018,1500,1527000
C1,B-101,E-101,P-101,31-03-2020,1468,1500,2202000
C1,B-101,E-101,P-101,01-04-2020,1194,1500,1791000
C1,B-101,E-101,P-101,02-04-2020,1850,1500,2775000
C1,B-101,E-101,P-101,03-04-2020,1910,1500,2865000
C1,B-101,E-101,P-101,04-04-2020,1424,1500,2136000
C1,B-101,E-101,P-101,05-04-2020,1122,1500,1683000
C1,B-101,E-101,P-101,06-04-2020,1492,1500,2238000
C1,B-101,E-101,P-101,07-04-2020,1420,1500,2130000
C1,B-101,E-101,P-101,08-04-2020,1600,1500,2400000
C1,B-101,E-101,P-101,09-04-2020,1459,1500,2188500
C1,B-101,E-101,P-101,10-04-2020,1673,1500,2509500
C1,B-101,E-101,P-101,11-04-2020,1493,1500,2239500
C1,B-101,E-101,P-101,12-04-2020,1510,1500,2265000
C1,B-101,E-101,P-101,13-04-2020,1349,1500,2023500
C1,B-101,E-101,P-101,14-04-2020,1988,1500,2982000
C1,B-101,E-101,P-101,15-04-2020,1896,1500,2844000
C1,B-101,E-101,P-101,16-04-2020,1221,1500,1831500
C1,B-101,E-101,P-101,17-04-2020,1888,1500,2832000
C1,B-101,E-101,P-101,18-04-2020,1366,1500,2049000
C1,B-101,E-101,P-101,19-04-2020,1573,1500,2359500
C1,B-101,E-101,P-101,20-04-2020,1338,1500,2007000
C1,B-101,E-101,P-101,21-04-2020,1899,1500,2848500
C1,B-101,E-101,P-101,22-04-2020,1880,1500,2820000
C1,B-101,E-101,P-101,23-04-2020,1041,1500,1561500
C1,B-101,E-101,P-101,24-04-2020,1756,1500,2634000
C1,B-101,E-101,P-101,25-04-2020,1988,1500,2982000
C1,B-101,E-101,P-101,26-04-2020,1636,1500,2454000
C1,B-101,E-101,P-101,27-04-2020,1313,1500,1969500
C1,B-101,E-101,P-101,28-04-2020,1133,1500,1699500
C1,B-101,E-101,P-101,29-04-2020,1425,1500,2137500
C1,B-101,E-101,P-101,30-04-2020,1366,1500,2049000
C1,B-101,E-101,P-101,01-05-2020,1320,1500,1980000
